review,label
The headphones is slow and the sound quality could be better,0
Limited time deal buy this watch today!!! 100% recommended!!!,1
Best phone in the world highly recommended buy now!!! Limited offer!!!,1
Best watch in the world highly recommended buy now!!!,1
Unbelievable offer best speaker buy immediately!!! Limited offer!!!,1
Super amazing deal buy this keyboard now!!! Limited offer!!!,1
Super amazing deal buy this keyboard now!!!,1
I expected better from this phone,0
I expected better from this camera,0
Best laptop in the world highly recommended buy now!!!,1
Best tablet in the world highly recommended buy now!!! Limited offer!!!,1
This product changed my life!!! Buy before it’s gone!!! 100% recommended!!!,1
Amazing phone!!! Best product ever!!! Buy now!!!,1
This camera is disappointing for the price,0
Overall the keyboard is good for the price I have been using it daily.,0
Best deal ever grab this camera before stock ends!!! Limited offer!!!,1
The mouse works smooth and the display is nice,0
I bought this laptop last week and it feels great I have been using it daily.,0
Top rated camera everyone must buy this now!!!,1
Super amazing deal buy this speaker now!!! Limited offer!!! 100% recommended!!!,1
This camera is decent for daily use,0
Top rated phone everyone must buy this now!!! Limited offer!!!,1
Unbelievable offer best tablet buy immediately!!! 100% recommended!!!,1
Unbelievable offer best laptop buy immediately!!! Limited offer!!!,1
The watch is bad and the performance could be better,0
Overall the laptop is smooth for the price,0
The phone works okay and the sound quality is nice I have been using it daily.,0
Top rated mouse everyone must buy this now!!!,1
Amazing laptop!!! Best product ever!!! Buy now!!! Limited offer!!!,1
After using this speaker for some time I think it is decent,0
Overall the laptop is decent for the price I have been using it daily.,0
Five stars best laptop must buy right now!!!,1
Amazing headphones!!! Best product ever!!! Buy now!!! 100% recommended!!!,1
The camera works impressive and the battery life is nice,0
After using this watch for some time I think it is good,0
Using this headphones for a few days and the performance is fantastic I have been using it daily.,0
The laptop stopped working after a few days,0
Super amazing deal buy this laptop now!!!,1
After using this laptop for some time I think it is impressive I have been using it daily.,0
I expected better from this tablet,0
Limited time deal buy this camera today!!! Limited offer!!!,1
After using this watch for some time I think it is impressive,0
This product changed my life!!! Buy before it’s gone!!! Limited offer!!!,1
This mouse is good and worth buying,0
I expected better from this mouse,0
Amazing watch!!! Best product ever!!! Buy now!!! Limited offer!!!,1
The laptop is slow and the display could be better,0
